Skeleton,Program,Line Number
CMNRDD01,CMNVSRVC,6
CMNRDD02,IEBGENER,10
CMNRDD03,IKJEFT01,17
CMNRDD03,IKJEFT01,43
CMNRDPEX,CMNWRITE,7
CMNRDPEX,IEBGENER,78
CMNRDPGN,ASMA90,9
CMNRDPGN,CMNSSIDN,74
CMNRDPGN,HEWL,106
CMNRDPOV,CMNISOVR,8
CMNRDPOV,ASMA90,48
CMNRDPOV,CMNSSIDN,107
CMNRDPOV,IEWL,146
CMNRPACB,DFSRRC00,10
CMNRPICL,IEBCOPY,44
CMNRPICL,SERCOPY,47
CMNRPICL,CMNDELRN,101
CMNRPICL,CMNDELRN,141
CMNRPICL,IEBGENER,165
CMNRPICL,IEFBR14,174
CMNRPICL,IEBGENER,179
CMNRPICR,IEBGENER,356
CMNRPICR,IEFBR14,366
CMNRPICR,IEBGENER,372
CMNRPICR,IEBGENER,385
CMNRPIGN,SORT,37
CMNRPIGN,CMNISMFS,92
CMNRPIPC,CMNDELRN,5
CMNRPIPS,IEBCOPY,17
CMNRPIPS,SERCOPY,20
CMNRPIRC,IEBCOPY,7
CMNRPIRC,SERCOPY,10
CMNRPIRD,CMNDELRN,5
CMNRPISC,IEBCOPY,13
CMNRPISC,SERCOPY,16
CMNRPM00,CMNBATCH,5
CMNRPM00,IEFBR14,19
CMNRPM10,IEBGENER,32
CMNRPM10,IEBCOPY,84
CMNRPM10,IEBGENER,95
CMNRPM10,IEBGENER,104
CMNRPM10,IEFBR14,169
CMNRPM10,IEBCOPY,173
CMNRPM20,IEBCOPY,10
CMNRPM20,CMNDELRN,22
CMNRPM20,CMNDELRN,35
CMNRPM20,CMNDELRN,48
CMNRPM20,IEBGENER,61
CMNRPM20,IEFBR14,69
CMNRPM20,IEBGENER,71
CMNRPM20,IEFBR14,80
CMNRPM20,IEFBR14,86
CMNRPM2I,IEBCOPY,10
CMNRPM2I,IEFBR14,27
CMNRPM2I,CMNDELRN,32
CMNRPM2I,CMNDELRN,46
CMNRPM2I,CMNDELRN,60
CMNRPM2I,IEFBR14,87
CMNRPM2I,IEFBR14,93
CMNRPM30,CMNDELRN,13
CMNRPM30,IEBGENER,26
CMNRPM30,IEFBR14,34
CMNRPM30,IEBGENER,36
CMNRPM3I,CMNDELRN,18
CMNRPM99,CMNBATCH,5
CMNRPMB0,CMNBATCH,10
CMNRPMB0,IEBGENER,80
CMNRPMB9,CMNBATCH,8
CMNRPMCL,IEBCOPY,35
CMNRPMCL,SERCOPY,38
CMNRPMCL,CMNDELRN,85
CMNRPMCL,CMNDELRN,113
CMNRPMCL,IEBGENER,134
CMNRPMCL,IEFBR14,142
CMNRPMCL,IEBGENER,144
CMNRPMCR,IEBCOPY,71
CMNRPMCR,SERCOPY,74
CMNRPMCR,IEBCOPY,113
CMNRPMCR,SERCOPY,116
CMNRPMCR,IEBCOPY,156
CMNRPMCR,SERCOPY,159
CMNRPMCR,CMNDELRN,227
CMNRPMCR,CMNDELRN,241
CMNRPMCR,CMNDELRN,255
CMNRPMCR,CMNDELRN,293
CMNRPMCR,CMNDELRN,310
CMNRPMCR,CMNDELRN,327
CMNRPMCR,IEBGENER,360
CMNRPMCR,IEFBR14,368
CMNRPMCR,IEBGENER,370
CMNRPMCR,IEBGENER,378
CMNRPMDL,IEFBR14,6
CMNRPMDR,IEFBR14,14
CMNRPMMJ,OS3550,8
CMNRPMT0,IEBGENER,9
CMNRPMT0,IEBGENER,18
CMNRPMT9,IEBGENER,9
CMNRPMT9,IEBGENER,18
CMNRXS,IEFBR14,38
CMNRXS,REXXCOMP,49
CMNRXS,CMNBAT90,69
CMNRXS,SERCOPY,93
CMNSASC,LC370B,9
CMNSRVC,CMNVSRVC,16
CMNTLNGN,IEBUPDTE,16
CMNTLNGN,ASMA90,33
CMNTLNGN,&PGMASM,37
CMNTLNGN,IEBUPDTE,58
CMNTLNPI,ADPACTLC,6
CMNTLNPI,ADPACTLC,11
CMNTLNPI,TELONTDF,17
CMNTLNRS,ADPACOPY,8
CMNZ010A,IDCAMS,6
CMNZ010P,IEBGENER,6
CMNZ030P,IEBGENER,6
CMNZ070P,IEBGENER,6
CMNZ100P,IEBGENER,6
CMNZ110P,IEBGENER,6
CMNZ120P,IEBGENER,6
CMNZ130P,IEBGENER,6
CMNZ140P,IEBGENER,6
CMNZ160P,IEBGENER,6
CMNZ170P,IEBGENER,6
CMV$$CVM,CMNDELRN,9
CMV$$CVM,CMNDELRN,25
CMV$$CVM,CMNDELRN,46
CMV$$CVM,CMNDELRN,62
CMV$$CVM,CMNDELRN,78
COMPMVS1,DSNHPC,28
COMPMVS1,EW7510,99
COMPMVS1,CH7061,121
COMPMVS1,IEL1AA,125
COMPMVS1,DSNHPC,164
COMPMVS1,EW7520,194
COMPMVS1,CH7061,219
COMPMVS1,IEL1AA,223
COMPMVS1,DFHEPP1$,253
COMPMVS1,IEBGENER,266
COMPMVS1,SY2090,282
COMPMVS1,NN0054,298
COMPMVS1,CH7061,315
COMPMVS1,IEL1AA,319
COMPMVS1,IEFBR14,352
COMPMVS1,STRXPLF,358
COMPMVS1,CMNSSIDN,370
COMPMVS1,IEFBR14,407
COMPMVS1,HEWL,417
COMPMVS1,IEBGENER,513
COMPMVS1,IEBGENER,521
COMPMVS1,CMNBAT90,529
COMPMVS1,CMNBAT90,551
COMPMVS1,SERCOPY,576
COMPMVS1,SERCOPY,589
COMPSTG,SY4020,11
COMPSTG,ADRDSSU,26
DB1$$B90,IKJEFT01,8
DB1$$B90,CMNBAT90,24
DB1$$B90,CMNBAT90,50
DB1$$B92,SERCOPY,11
DB1$$B92,SERCOPY,25
DB2$$B90,IKJEFT01,8
DB2$$B90,CMNBAT90,26
DB2$$B92,SERCOPY,8
EPC$$CGN,EW7510,8
EPC$$FAF,IKJEFT01,49
EPC$$LCT,ICEGENER,10
EPC$$LCT,CMNBAT90,21
EPC$$LCT,SERCOPY,47
EPC$$PLI,IBMZPLI,55
EPC$$PLI,CWPPMAIN,57
EPCBINDR,IEFBR14,27
EPCBINDR,HEWL,52
EPCBINDR,CMNBAT90,107
EPCBINDR,SERCOPY,139
EPCCGN01,IBMZPLI,19
EPCLCORB,EDCPRLK,12
EPCLSTCS,IKJEFT01,11
EPCLSTCS,ICEGENER,29
EPCLSTCS,IKJEFT01,42
EPCLSTCS,SERCOPY,60
EPCLSTCS,CMNBATCH,69
EPCLSTPR,SERPRINT,7
EPCPLGCK,IKJEFT01,6
EPP$$PLI,IBMZPLI,10
ETHEL,HI7007,1
FRED,SERCOPY,35
FRED,HI7007,61
JOSKAPP,JSKSCAN,9
JOSKAPP,SERCOPY,21
JOSKAPP,CMNBAT90,38
LE3$$CGN,EW7510,7
LE3$$CGN,CH7061,30
LE3$$CGN,IEL1AA,34
LE3$$CGN,DSNHPC,75
LE3$$CGN,IKJEFT01,135
LE3$$CGN,CMNBAT90,176
LE3$$CGN,EW7520,205
LE3$$CGN,CH7061,230
LE3$$CGN,IEL1AA,234
LE3$$CGN,DFHEPP1$,267
LE3$$CGN,IEBGENER,280
LE3$$CGN,SY2090,296
LE3$$CGN,NN0054,311
LE3$$CGN,CH7061,327
LE3$$CGN,IEL1AA,331
LE3$$CGN,IEFBR14,377
LE3$$CGN,STRXPLF,383
LE3$$CGN,CMNSSIDN,395
LE3$$CGN,IEFBR14,434
LE3$$CGN,HEWL,444
LE3$$CGN,SERCOPY,524
LE3$$CGN,SERCOPY,545
LE3$$CGN,IEBGENER,563
LE3$$CGN,IEBGENER,571
LE3$$CGN,CMNBAT90,579
LE3$$CGN,CMNBAT90,601
LE3$$CGN,SERCOPY,626
LE3$$CGN,SERCOPY,639
LE3$$DEC,NN0054,6
LE3$$PLI,IEL1AA,20
LE3$$PLI,CH7061,23
LE3$$PLI,IEFBR14,106
LE3$$PLI,STRXPLF,116
LE3PLIPP,IEL1AA,36
LE3PLIPP,CH7061,40
LE3PLIPP,JSKSCAN,100
LOAD,IEBGENER,54
LOAD,IEFBR14,70
LOAD,IEBCOPY,81
LOAD,CMNBAT90,107
LOAD,SERCOPY,131
OBJ$$SSI,IKJEFT01,7
OBJXPLIB,IEBCOPY,17
PLI$$DEC,NN0054,6
PLICCFAF,IBMZPLI,22
PLICICG1,EW7510,7
PLIETABX,SY2090,9
PLIGEN,SY7660,1
PLIGEN,IEBGENER,6
PLIMDSCC,ICEGENER,20
PLIPPFAF,IBMZPLI,8
PSBGNALT,IEFBR14,76
PSBGNALT,IEBGENER,80
RPBADBND,IEBGENER,16
RPBADBND,IEBGENER,33
S8PD2BND,IEBGENER,35
S8PD2BND,IEBGENER,116
SCMBDMDS,IKJEFT01,10
SCMCLMTA,IKJEFT01,283
SCMCLMTA,IKJEFT01,295
SCMEVTCK,IKJEFT01,8
SCMEVTCK,IKJEFT01,18
SCMGNMTA,IKJEFT01,6
SCMGNMTR,IKJEFT01,5
SCMMIGRO,IKJEFT01,38
SCMMIGRO,IKJEFT01,134
SCMMIGRO,IKJEFT01,235
SCMN$C01,IKJEFT1A,13
SCMN$C02,IKJEFT1A,13
SCMN$C03,IKJEFT1A,13
SCMN$C04,IKJEFT1A,13
SCMN$C05,IKJEFT1A,13
SCMN$C06,IKJEFT1A,13
SCMN$CD1,IKJEFT1A,10
SCMN$CD2,IKJEFT1A,10
SCMN$CD5,IKJEFT1A,10
SCMN$CD6,IKJEFT1A,10
SCMN$CH1,IKJEFT1A,13
SCMN$CH2,IKJEFT1A,13
SCMN$CH5,IKJEFT1A,13
SCMN$CH6,IKJEFT1A,13
SCMN$CI1,IKJEFT1A,10
SCMN$CI2,IKJEFT1A,10
SCMN$CI5,IKJEFT1A,10
SCMN$CI6,IKJEFT1A,10
SCMN$CU1,IKJEFT1A,10
SCMN$CU2,IKJEFT1A,10
SCMN$CU5,IKJEFT1A,10
SCMN$CU6,IKJEFT1A,10
SCMN$E20,IKJEFT1A,13
SCMN$E21,IKJEFT1A,13
SCMN$E23,IKJEFT1A,13
SCMN$E30,IKJEFT1A,13
SCMN$E32,IKJEFT1A,13
SCMN$E45,IKJEFT1A,13
SCMN$S05,IKJEFT1A,13
SCMN$S10,IKJEFT1A,13
SCMN$S20,IKJEFT1A,13
SCMN$S25,IKJEFT1A,13
SCMN$S30,IKJEFT1A,13
SCMN$S35,IKJEFT1A,13
SCMN$S40,IKJEFT1A,13
SCMN$S75,IKJEFT1A,13
SCMPDSST,IKJEFT01,39
SKAAUDRP,ICETOOL,23
SKAAUDRP,IKJEFT01,51
SKADBSTR,IKJEFT01,5
SKATSOLB,IKJEFT01,17
SKAUMEMO,IEFBR14,3
SKAUMEMO,CH7010,5
SKAUMEMO,OS3550,30
SKBNEWCP,IEBGENER,14
SKBNEWCP,CH7120,69
SKBNEWCP,CMNCICS1,81
SKBNEWCP,IEBGENER,92
SKBNEWCP,CH7120,146
SKBNEWCP,CMNCICS1,158
SKBNEWCP,IEBGENER,169
SKBNEWCP,CH7120,223
SKBNEWCP,CMNCICS1,235
SKBNEWCP,IEBGENER,246
SKBNEWCP,CH7120,300
SKBNEWCP,CMNCICS1,312
SKDBPGEN,IKJEFT1A,5
SKDBPGEN,CMNBAT90,19
SKDBPGN2,SERCOPY,6
SKDELHDR,IEFBR14,3
SKDELHDR,CMNDELRN,6
SKDIEPST,IKJEFT01,31
SKED2BDP,IKJEFT1A,10
SKED2BDP,IKJEFT1A,33
SKED2BDP,IKJEFT1A,62
SKED2BDP,IKJEFT1A,93
SKED2BDP,IEBUPDTE,106
SKED2BND,IKJEFT1A,32
SKED2JSK,IKJEFT1A,4
SKED2JSK,JSK2UTI,25
SKEDBB,IKJEFT1A,13
SKEDBB,IKJEFT01,52
SKEDBB,IKJEFT1A,83
SKEDBB,IEBUPDTE,109
SKEPTAAC,DFSRRC00,28
SKEPTAMF,SY4020,29
SKEPTAMF,SY4020,59
SKEPTAMF,SY4020,78
SKEPTAPS,ASMA90,22
SKEPTAPS,HEWL,40
SKI21BDP,IKJEFT1A,6
SKI21BDP,IKJEFT1A,22
SKI21BND,IKJEFT1A,66
SKI21BND,IEFBR14,85
SKI21BND,CMNBATCH,87
SKI21BND,IDCAMS,215
SKI21BND,IKJEFT01,242
SKI21BND,IKJEFT01,261
SKI21DBB,IKJEFT1A,14
SKI21DBB,IKJEFT01,63
SKI21JSK,IKJEFT1A,5
SKI21JSK,JSK2UTI,27
SKI32BDP,IKJEFT1A,8
SKI32BDP,IKJEFT1A,24
SKI32DBB,IKJEFT1A,21
SKI32DBB,IKJEFT01,58
SKI32DBB,IEFBR14,85
SKI32JSK,IKJEFT1A,5
SKI32JSK,JSK2UTI,32
SKID2MMO,CH7010,6
SKID2MMO,OS3550,107
SKIEBCOP,IEFBR14,4
SKIEBCOP,IEBCOPY,7
SKIMSEMO,CH7010,3
SKIMSEMO,OS3550,32
SKINEWCP,IEBGENER,16
SKINEWCP,CH7120,45
SKINEWCP,CMNCICS1,57
SKINEWCP,IEBGENER,68
SKINEWCP,CH7120,96
SKINEWCP,CMNCICS1,108
SKINEWCP,IEBGENER,119
SKINEWCP,CH7120,147
SKINEWCP,CMNCICS1,159
SKINEWCP,IEBGENER,170
SKINEWCP,CH7120,198
SKINEWCP,CMNCICS1,210
SKINEWCP,IEBGENER,221
SKINEWCP,CH7120,249
SKINEWCP,CMNCICS1,261
SKINEWCP,IEBGENER,272
SKINEWCP,CH7120,300
SKINEWCP,CMNCICS1,312
SKINEWCP,IEBGENER,328
SKINEWCP,CH7120,356
SKINEWCP,CMNCICS1,368
SKINEWCP,IEBGENER,379
SKINEWCP,CH7120,407
SKINEWCP,CMNCICS1,419
SKINEWCP,IEBGENER,430
SKINEWCP,CH7120,458
SKINEWCP,CMNCICS1,470
SKISCMTG,IKJEFT01,10
SKM$$SCM,IKJEFT01,15
SKM$$XPA,CWPAMAIN,9
SKM$$XPC,CWPCMAIN,10
SKM$$XPC,CWPCMAIN,17
SKM$$XPP,CH7062,10
SKM$$XPP,CWPPMAIN,13
SKMIDLGW,IKJEFT01,18
SKMIDLGW,BPXBATCH,63
SKMIDLGW,CH7180,107
SKMIDLGW,IKJEFT01,222
SKMIDLGW,IKJEFT01,306
SKMIDLGW,SY4020,340
SKMIDLGW,BPXBATCH,385
SKMIDLIR,IKJEFT01,18
SKMIDLIR,BPXBATCH,62
SKMIDLIR,IKJEFT01,106
SKMIDLIR,IKJEFT01,232
SKMIDLIR,SY4020,278
SKMIDRZ8,IEBGENER,7
SKMIDRZ8,SERPRINT,44
SKMQMSBS,DFSRRC00,16
SKMQMSBS,DFSRRC00,22
SKMQMSBS,DFSRRC00,29
SKMQMSBS,DFSRRC00,36
SKMQMSBS,DFSRRC00,42
SKMQMSBS,DFSRRC00,48
SKMQMSBS,DFSRRC00,124
SKMQMSBS,DFSRRC00,130
SKMQMSBS,DFSRRC00,137
SKMQMSBS,DFSRRC00,144
SKMQMSBS,DFSRRC00,150
SKMQMSBS,DFSRRC00,156
SKPCODEC,IBMZPLI,27
SKPD2BDP,IKJEFT1A,9
SKPD2BDP,IKJEFT01,29
SKPD2BDP,IKJEFT1A,85
SKPD2BDP,IKJEFT1A,104
SKPD2BDP,IEBUPDTE,113
SKPD2BND,IEBGENER,84
SKPD2BND,IEBGENER,166
SKPD2JSK,SERCOPY,3
SKPD2JSK,IKJEFT1A,21
SKPD2JSK,JSK2UTI,42
SKPDBB,IKJEFT1A,3
SKPDBB,IKJEFT01,28
SKPDBB,IKJEFT1A,42
SKPDBB,IEBUPDTE,55
SKPITEST,ICEGENER,22
SKPITEST,IN25SYMP,56
SKPITEST,IN25LINK,94
SKPLKORB,IEBGENER,28
SKPLKORB,IEFBR14,138
SKPLKORB,IEBGENER,147
SKPLKORB,EDCPRLK,163
SKPNEWCP,IEBGENER,38
SKPNEWCP,CH7120,67
SKPNEWCP,CMNCICS1,79
SKPNEWCP,IEBGENER,90
SKPNEWCP,CH7120,118
SKPNEWCP,CMNCICS1,130
SKPNEWCP,IEBGENER,141
SKPNEWCP,CH7120,169
SKPNEWCP,CMNCICS1,181
SKPNEWCP,IEBGENER,192
SKPNEWCP,CH7120,220
SKPNEWCP,CMNCICS1,232
SKPNEWCP,IEBGENER,255
SKPNEWCP,CH7120,301
SKPNEWCP,CMNCICS1,313
SKPNEWCP,IEBGENER,326
SKPNEWCP,CH7120,355
SKPNEWCP,CMNCICS1,367
SKPNEWCP,IEBGENER,380
SKPNEWCP,CH7120,409
SKPNEWCP,CMNCICS1,421
SKPQCHK1,IEBGENER,14
SKPQCHK2,IKJEFT01,22
SKPQCHK2,IEBGENER,96
SKRIMS,SORT,89
SKRPSCR,IKJEFT01,18
SKS$$050,CMNDELRN,15
SKS$$050,IEBCOPY,31
SKS$$050,CMNDELRN,71
SKS$$IMS,DFHECP1$,9
SKS$$IMS,DFHEAP1$,20
SKS$$IMS,DFHEPP1$,24
SKS$$PSB,ASMA90,11
SKS$$T20,IEBCOPY,51
SKS$$T20,SERCOPY,54
SKS$$T20,CMNDELRN,87
SKS$$T20,CMNDELRN,106
SKS$BSCI,IEBGENER,13
SKS$BSCI,CH7010,125
SKS$BSCI,OS3550,140
SKS$EOPT,IEBGENER,12
SKS$EOPT,CH7010,86
SKS$EOPT,OS3550,101
SKSBAU,IEBGENER,34
SKSBAUDT,DFSRRC00,4
SKSBAUDT,CHAF70,22
SKSBAUDT,ASMA90,68
SKSBAUDT,IEFBR14,79
SKSBAUDT,HEWL,85
SKSBAUDT,CMNBAT90,98
SKSBAUDT,SERCOPY,119
SKSBINDR,IEBCOPY,44
SKSBINDR,SERCOPY,309
SKSCCILD,SERCOPY,9
SKSCCILD,CMNBATCH,17
SKSCCILD,IKJEFT01,44
SKSCCILD,SERCOPY,60
SKSCCILD,CMNBATCH,68
SKSCCOBJ,EQACUZPT,8
SKSCCSTP,SERCOPY,30
SKSCCSTP,EQACUSET,39
SKSCKDBR,IKJEFT01,27
SKSCMPAR,SERCMPAR,8
SKSCSBPP,NN0062,4
SKSCSBPP,NN0060,14
SKSCSUTL,IKJEFT01,20
SKSCSUTL,CMNCSUTL,46
SKSCSUTL,CMNCSUTL,90
SKSDB2TM,CMNDB2TM,1
SKSDUPCK,IKJEFT01,11
SKSIDL,IDCAMS,58
SKSIDL,IEFBR14,72
SKSIDL,IKJEFT01,87
SKSIDL,BPXBATCH,131
SKSIDL,IKJEFT01,204
SKSIDL,CH7170,277
SKSIDL,IDCAMS,296
SKSIDL,CH7140,315
SKSIDL,CH7140,348
SKSIDL,CH7140,381
SKSIDL,CH7150,411
SKSIDL,IEBGENER,444
SKSIDL,IEBGENER,450
SKSIDL,IEBGENER,457
SKSIDL,IEBGENER,464
SKSIDL,IEBGENER,470
SKSIDL,IDCAMS,507
SKSIDL,IEFBR14,526
SKSIDL,IEFBR14,535
SKSIDL,IEFBR14,542
SKSIDL,IEFBR14,567
SKSITEST,IEBGENER,5
SKSITEST,IEBGENER,13
SKSITEST,CMNBAT90,21
SKSITEST,CMNBAT90,43
SKSITEST,SERCOPY,68
SKSITEST,SERCOPY,81
SKSJOBNO,CH7010,15
SKSJSS,IEFBR14,24
SKSJSS,CMNBAT90,64
SKSJSS,SERCOPY,89
SKSLEOPT,IKJEFT01,31
SKSLEOPT,IKJEFT1A,55
SKSPAP01,CMNBAT90,45
SKSPAP01,SERCOPY,66
SKSPAP01,SERCOPY,77
SKSPAPRS,IEBGENER,20
SKSPLAUS,IEFBR14,20
SKSPLAUS,EW7430,26
SKSPLAUS,CMNBAT90,162
SKSPLAUS,SERCOPY,184
SKSPLAUS,CMNBAT90,196
SKSPLAUS,SERCOPY,218
SKSPPCPY,SERCOPY,41
SKSPPCPY,CMNBAT90,57
SKSSACB,IEFBR14,26
SKSSACB,DFSRRC00,41
SKSSACB,SERCOPY,75
SKSSACB,CMNBAT90,88
SKSSACB,SERCOPY,116
SKSSACB,SERCOPY,130
SKSSACPY,SERCOPY,20
SKSSACPY,SERCOPY,34
SKSSACPY,CMNBAT90,50
SKSSPLNK,IEFBR14,8
SKSSPLNK,IEBGENER,17
SKSSPLNK,DFSILNK0,25
SKSSPLNK,CMNBAT90,71
SKSSPLNK,SERCOPY,104
SKSSYNCN,IKJEFT01,10
SKSWTO,IEFBR14,5
SKSWTO,SY7060,8
SKSXMCPY,SERCOPY,37
SKSXMCPY,CMNBAT90,53
SKUCMPJC,IEBCOPY,13
SKUCMPJC,SY4020,28
SKUCMPJC,OS4310,40
SKX$$CIC,DFHECP1$,14
SKX$$CIC,DFHEAP1$,30
SKX$$CIC,DFHEPP1$,34
SKXLIPVA,SY2090,11
SKXLIPVA,IBMZPLI,36
SKXLIPVA,JSKSCAN,78
SKXLIPVA,NN0054,92
SKXLIPVA,IEFBR14,112
SKXVACGN,EW7510,8
SKXVACGN,IBMZPLI,29
SKXVACGN,DSNHPC,61
SKXVACGN,IKJEFT01,121
SKXVACGN,NN0062,149
SKXVACGN,NN0060,159
SKXVACGN,EW7520,189
SKXVACGN,IBMZPLI,213
SKXVACGN,DFHEPP1$,239
SKXVACGN,IEBGENER,252
SKXVACGN,SY2090,268
SKXVACGN,NN0054,283
SKXVACGN,IBMZPLI,297
SKXVACGN,IEFBR14,342
SKXVACGN,STRXPLF,348
SKXVACGN,CMNSSIDN,361
SKXVACGN,IEFBR14,402
SKXVACGN,HEWL,411
SKXVACGN,IEFBR14,492
SKXVAPDB,DSNHPC,12
SKXVAPDB,SERCOPY,96
SKXVAPDB,IKJEFT01,121
SKXVAPLI,IBMZPLI,20
STROBEPP,IEFBR14,8
STROBEPP,STRXPLF,18
TIRLSCI1,IKJEFT1A,12
TIRLSCI2,IKJEFT1A,12
TIRLSHST,IKJEFT1A,12
XRFS0000,IDCAMS,3
XRFS0000,ICEMAN,49
XRFS0000,IKJEFT01,85
